1.333108 103.7422939 Jurong East, Singapore
1.3490572 103.7495906 Bukit Batok, Singapore
1.3588929 103.7518249 Bukit Gombak, Singapore
1.3847493 103.7445341 Choa Chu Kang, Singapore
1.3974608 103.7474009 Yew Tee, Singapore
1.4252189 103.7619891 Kranji, Singapore
1.4325704 103.7741243 Marsiling, Singapore
1.436897 103.786216 Woodlands, Singapore
1.4406369 103.8009592 Admiralty, Singapore
1.4490928 103.8200555 Sembawang, Singapore
1.4293839 103.8350282 Yishun, Singapore
1.4173597 103.8330179 Khatib, Singapore
1.3817905 103.8449359 Yio Chu Kang, Singapore
1.3700803 103.8495228 Ang Mo Kio, Singapore
1.3509859 103.84825507492937 Bishan, Singapore
1.3400707 103.84675837096586 Braddell, Singapore
1.3353906 103.8497414 Toa Payoh, Singapore
1.3205257000000001 103.84388133927948 Novena, Singapore
1.31318325 103.83804024301281 Newton, Singapore
1.3034265999999999 103.83134195570693 Orchard, Singapore
1.30038375 103.8388284758278 Somerset, Singapore
1.29955225 103.84533749528336 Dhoby Ghaut, Singapore
1.2930272 103.85264479617268 City Hall, Singapore
1.2835416999999998 103.85146023266938 Raffles Place, Singapore
1.2755589999999999 103.85489740049655 Marina Bay, Singapore
1.2714861499999999 103.862770053261 Marina South Pier, Singapore
1.3730307 103.949255 Pasir Ris, Singapore
1.3546528 103.9435712 Tampines, Singapore
1.3431881 103.953371 Simei, Singapore
1.3272553 103.9465048 Tanah Merah, Singapore
1.3239765 103.930216 Bedok, Singapore
1.3210321 103.9129269 Kembangan, Singapore
1.3198016 103.9028891 Eunos, Singapore
1.3174795000000001 103.89235252467483 Paya Lebar, Singapore
1.3164515 103.8829087 Aljunied, Singapore
1.310759 103.866262 Kallang, Singapore
1.30734955 103.86315267326367 Lavender, Singapore
1.2999532999999999 103.85527814689878 Bugis, Singapore
1.27660565 103.84577931609854 Tanjong Pagar, Singapore
1.2808682 103.83988410749787 Outram Park, Singapore
1.28617925 103.82722523285841 Tiong Bahru, Singapore
1.2896482 103.8167677 Redhill, Singapore
1.2946226 103.8060366 Queenstown, Singapore
1.3024428 103.7983085 Commonwealth, Singapore
1.30660965 103.79075103909005 Buona Vista, Singapore
1.3113893 103.778605 Dover, Singapore
1.3151003 103.7652311 Clementi, Singapore
1.3423978 103.732544 Chinese Garden, Singapore
1.34425 103.7206931 Lakeside, Singapore
1.3385504 103.7058124 Boon Lay, Singapore
1.3375884 103.6974104 Pioneer, Singapore
1.327735 103.6782221 Joo Koon, Singapore
1.3196353 103.6606551 Gul Circle, Singapore
1.3211582 103.6489064 Tuas Crescent, Singapore
1.3300518 103.6395694 Tuas West Road, Singapore
1.3402926 103.6368053 Tuas Link, Singapore
1.3350803999999998 103.96272887824436 Expo, Singapore
1.35755735 103.98847034565972 Changi Airport, Singapore
1.2655362000000001 103.82276644272031 HarbourFront, Singapore
1.2837372 103.8437976 Chinatown, Singapore
1.2881865499999998 103.84639555444176 Clarke Quay, Singapore
1.30684265 103.84927355170905 Little India, Singapore
1.31259105 103.8542288478267 Farrer Park, Singapore
1.3195690500000001 103.86174867772831 Boon Keng, Singapore
1.3314141 103.8691380822365 Potong Pasir, Singapore
1.3391943 103.87082151823131 Woodleigh, Singapore
1.3497610500000001 103.87368414801405 Serangoon, Singapore
1.3601757 103.88511197287917 Kovan, Singapore
1.3708011 103.89254433997465 Hougang, Singapore
1.382996 103.8930569488994 Buangkok, Singapore
1.3919236499999998 103.89549093760694 Sengkang, Singapore
1.40519735 103.90234976571602 Punggol, Singapore
1.2968214 103.85066583319599 Bras Basah, Singapore
1.29348725 103.8553907886887 Esplanade, Singapore
1.29262495 103.86087377494263 Promenade, Singapore
1.29983065 103.86379908710182 Nicoll Highway, Singapore
1.3028396 103.87537942515634 Stadium, Singapore
1.3063254 103.88272779279126 Mountbatten, Singapore
1.3084316999999999 103.88882084838681 Dakota, Singapore
1.32620695 103.88950695393876 MacPherson, Singapore
1.3353828 103.88830605859883 Tai Seng, Singapore
1.3428228500000001 103.87980017521383 Bartley, Singapore
1.35156575 103.86386218385945 Lorong Chuan, Singapore
1.34860435 103.83939255166875 Marymount, Singapore
1.3373525499999999 103.83964873514574 Caldecott, Singapore
1.3146320999999999 103.81561510052387 Botanic Gardens, Singapore
1.31748125 103.80756259256168 Farrer Road, Singapore
1.31172195 103.79607968658257 Holland Village, Singapore
1.29954015 103.78725843058069 one-north, Singapore
1.2933374 103.78449364604653 Kent Ridge, Singapore
1.28267795 103.78180159288999 Haw Par Villa, Singapore
1.27620135 103.7914758234202 Pasir Panjang, Singapore
1.2722935 103.80299470935802 Labrador Park, Singapore
1.27102005 103.80969476655733 Telok Blangah, Singapore
1.2825589 103.85944825877111 Bayfront, Singapore
1.3791486 103.76141301431002 Bukit Panjang, Singapore
1.3692912 103.76471480796098 Cashew, Singapore
1.3624042 103.76742729372796 Hillview, Singapore
1.3411650499999999 103.77576878049459 Beauty World, Singapore
1.3359204500000001 103.78378262981226 King Albert Park, Singapore
1.3311003000000001 103.79704052046321 Sixth Avenue, Singapore
1.32602725 103.80713779566258 Tan Kah Kee, Singapore
1.3201364500000001 103.82565327754514 Stevens, Singapore
1.3039183 103.85278854599449 Rochor, Singapore
1.27939495 103.85299250550895 Downtown, Singapore
1.28236715 103.84826400565862 Telok Ayer, Singapore
1.2923829 103.8442419564924 Fort Canning, Singapore
1.2986084500000001 103.85012699630914 Bencoolen, Singapore
1.3064665 103.8559981 Jalan Besar, Singapore
1.3136389 103.86300121034482 Bendemeer, Singapore
1.3212228 103.8712447 Geylang Bahru, Singapore
1.32685605 103.88333353224527 Mattar, Singapore
1.3299354 103.8970444 Ubi, Singapore
1.3360277 103.9018509 Kaki Bukit, Singapore
1.3344768 103.91828105834635 Bedok North, Singapore
1.3425058 103.92522980731215 Bedok Reservoir, Singapore
1.3458660999999998 103.93846350820903 Tampines West, Singapore
1.35603565 103.95513541144504 Tampines East, Singapore
1.34162295 103.96146275564863 Upper Changi, Singapore
1.3802716 103.7452826 South View, Singapore
1.3786034 103.7490207 Keat Hong, Singapore
1.3766705 103.7536471 Teck Whye, Singapore
1.3786164 103.758008 Phoenix, Singapore
1.3777652 103.7666291 Petir, Singapore
1.3761841 103.7712587 Pending, Singapore
1.3800554 103.7726443 Bangkit, Singapore
1.3845503 103.7708003 Fajar, Singapore
1.3877855 103.7695804 Segar, Singapore
1.3866887 103.7645139 Jelapang, Singapore
1.3826778 103.7623822 Senja, Singapore
1.3803675000000002 103.76016739821614 Ten Mile Junction, Singapore
1.394518 103.9004349 Compassvale, Singapore
1.3914749 103.9059729 Rumbia, Singapore
1.3880083 103.905418 Bakau, Singapore
1.3839286 103.9022055 Kangkar, Singapore
1.3840474 103.8974006 Ranggung, Singapore
1.3962917 103.8937904 Cheng Lim, Singapore
1.3971948 103.8892243 Farmway, Singapore
1.3982038 103.881246 Kupang, Singapore
1.3973334 103.8756345 Thanggam, Singapore
1.3904635 103.8770826 Fernvale, Singapore
1.3920846 103.8800319 Layar, Singapore
1.3894081 103.8858267 Tongkang, Singapore
1.3867294 103.8905331 Renjong, Singapore
1.3994603 103.9058059 Cove, Singapore
1.3969357 103.9088889 Meridian, Singapore
1.3932064 103.9113521002111 Coral Edge, Singapore
1.394538 103.9161538 Riviera, Singapore
1.399601 103.9164448 Kadaloor, Singapore
1.4022823 103.9127329 Oasis, Singapore
1.4052523 103.9085982 Damai, Singapore
1.4097076 103.904874 Sam Kee, Singapore
1.41278045 103.90664159853392 Teck Lee, Singapore
1.4168814 103.9066298 Punggol Point, Singapore
1.4159034 103.90210478252826 Samudera, Singapore
1.4118877 103.9003304 Nibong, Singapore
1.4085322 103.8985342 Sumang, Singapore
1.4053014 103.8972748 Soo Teck, Singapore
